product~product_type~product_volume~product_price_per_unit~product_price~product_unit~product_category~product_subcategory~product_url~product_code~collected_timestamp
Aceite de oliva 0,4º Hacendado~Garrafa~5 L~4,726 €/L~23.63~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4241/aceite-oliva-04o-hacendado-garrafa~4241~2023-03-16 15:10:36.967039
Aceite de oliva 0,4º Hacendado~Botella~1 L~4,77 €/L~4.77~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4240/aceite-oliva-04o-hacendado-botella~4240~2023-03-16 15:10:38.197530
Aceite de oliva virgen extra Hacendado~Garrafa~3 L~5,584 €/L~16.75~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4717/aceite-oliva-virgen-extra-hacendado-garrafa~4717~2023-03-16 15:10:39.156013
Aceite de oliva virgen extra Hacendado~Botella~1 L~5,63 €/L~5.63~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4740/aceite-oliva-virgen-extra-hacendado-botella~4740~2023-03-16 15:10:40.304194
Aceite de oliva virgen extra Hacendado Gran Selección~Botella~750 ml~6,814 €/L~5.11~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4706/aceite-oliva-virgen-extra-hacendado-gran-seleccion-botella~4706~2023-03-16 15:10:41.409243
Aceite de oliva 1º Hacendado~Garrafa~5 L~4,726 €/L~23.63~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4641/aceite-oliva-1o-hacendado-garrafa~4641~2023-03-16 15:10:42.319969
Aceite de oliva 1º Hacendado~Not available~Not available~Not available~4.77~ud~Not Available~Compartir~https://tienda.mercadona.es/product/4640/aceite-oliva-1o-hacendado-botella~4640~2023-03-16 15:10:43.045150
Aceite de oliva virgen Hacendado~Not available~Not available~Not available~15.18~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4711/aceite-oliva-virgen-hacendado-garrafa~4711~2023-03-16 15:10:44.429933
Aceite de oliva virgen Hacendado~Botella~1 L~5,20 €/L~5.2~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4749/aceite-oliva-virgen-hacendado-botella~4749~2023-03-16 15:10:45.488970
Aceite de oliva virgen extra Hacendado~Spray~200 ml~11,70 €/L~2.34~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4718/aceite-oliva-virgen-extra-hacendado-spray~4718~2023-03-16 15:10:46.597293
Aceite de oliva virgen extra Picual Casa Juncal~Botella~500 ml~9,36 €/L~4.68~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4850/aceite-oliva-virgen-extra-picual-casa-juncal-botella~4850~2023-03-16 15:10:47.726925
Aceite de girasol refinado 0,2º Hacendado~Garrafa~5 L~1,79 €/L~8.95~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4047/aceite-girasol-refinado-02o-hacendado-garrafa~4047~2023-03-16 15:10:48.745221
Aceite de girasol refinado 0,2º Hacendado~Botella~1 L~1,95 €/L~1.95~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4046/aceite-girasol-refinado-02o-hacendado-botella~4046~2023-03-16 15:10:49.701776
Aceite de coco virgen Hacendado~Bote~450 ml~10,00 €/L~4.5~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4193/aceite-coco-virgen-hacendado-bote~4193~2023-03-16 15:10:50.656015
Vinagre de vino blanco Hacendado~Botella~1 L~0,65 €/L~0.65~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4940/vinagre-vino-blanco-hacendado-botella~4940~2023-03-16 15:10:51.639815
Vinagre balsámico de Módena Hacendado~Botella~250 ml~5,20 €/L~1.3~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4954/vinagre-balsamico-modena-hacendado-botella~4954~2023-03-16 15:10:52.659655
Vinagre de manzana Hacendado~Botella~1 L~0,82 €/L~0.82~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4957/vinagre-manzana-hacendado-botella~4957~2023-03-16 15:10:53.652884
Limón exprimido Hacendado~Botella~280 ml~3,393 €/L~0.95~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4903/limon-exprimido-hacendado-botella~4903~2023-03-16 15:10:54.803204
Crema de vinagre balsámico de Módena Hacendado~Botella~250 g~7,20 €/kg~1.8~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4908/crema-vinagre-balsamico-modena-hacendado-botella~4908~2023-03-16 15:10:56.062598
Vinagre de Jerez reserva Hacendado~Botella~250 ml~7,20 €/L~1.8~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/13609/vinagre-jerez-reserva-hacendado-botella~13609~2023-03-16 15:10:57.198044
Bebida aromatizada a base de vino para cocinar Abuela Carola~Botella~750 ml~3,00 €/L~2.25~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/66905/bebida-aromatizada-base-vino-cocinar-abuela-carola-botella~66905~2023-03-16 15:10:58.398200
Vinagre de vino tinto Hacendado~Botella~1 L~0,95 €/L~0.95~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/15843/vinagre-vino-tinto-hacendado-botella~15843~2023-03-16 15:10:59.504613
Reducción de vinagre Pedro Ximénez Hacendado~Botella~300 g~7,50 €/kg~2.25~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4905/reduccion-vinagre-pedro-ximenez-hacendado-botella~4905~2023-03-16 15:11:00.708672
